posted_time,location,post_title,bedroom_no,sqft,url,price
2024-10-30,Woodstock,"Space to grow, room to dream: Unveiling our 2 BR.",2,1167,https://atlanta.craigslist.org/nat/apa/d/lebanon-space-to-grow-room-to-dream/7789991459.html,1313.0
2024-10-30,Austell,APPLICATIONS FREE THIS WEEK! Celebrate space and comfort in our 2 BR.,2,1047,https://atlanta.craigslist.org/wat/apa/d/atlanta-applications-free-this-week/7795674229.html,1399.0
2024-10-30,Lilburn,"Espacioso, elegante ¡Has encontrado su baño ideal!1x1",1,825,https://atlanta.craigslist.org/eat/apa/d/lilburn-espacioso-elegante-has/7793809477.html,1199.0
2024-10-30,Jonesboro - 20 Minute Drive to Ferns of the World Garden,Pet friendly community in Jonesboro. 2 BD / 2 BA. Call for tour!,2,1200,https://atlanta.craigslist.org/sat/apa/d/riverdale-pet-friendly-community-in/7797375661.html,
2024-10-30,Lithonia,Your dog or cat is welcome! Amazing pet-friendly 2 BR / 2 BA!,2,1209,https://atlanta.craigslist.org/eat/apa/d/lithonia-your-dog-or-cat-is-welcome/7790441223.html,1749.0
2024-10-30,Conyers,We have what you need and more! Come see our fantastic views!,2,1023,https://atlanta.craigslist.org/eat/apa/d/conyers-we-have-what-you-need-and-more/7796790229.html,1258.0
2024-10-30,Covington,Delight in every detail. Our homes are crafted for comfort.,2,1316,https://atlanta.craigslist.org/eat/apa/d/covington-delight-in-every-detail-our/7796078496.html,1315.0
2024-10-30,Austell,Experience More than Just Living – Thrive in Your Perfect Space!,3,1258,https://atlanta.craigslist.org/wat/apa/d/atlanta-experience-more-than-just/7794436837.html,1599.0
2024-10-30,Dacula,"Something to love in every room! 1 bed, 1 bath. Beautiful view!",1,700,https://atlanta.craigslist.org/atl/apa/d/dacula-something-to-love-in-every-room/7797208654.html,1127.0
2024-10-30,Lawrenceville,"Make yourself at home, garden-style! Groves of Lawrenceville",2,993,https://atlanta.craigslist.org/nat/apa/d/lawrenceville-make-yourself-at-home/7790429350.html,
2024-10-30,Stone Mountain - Near Stone Mountain Plaza,Get in the game! Sports Court and amazing community amenities!,1,850,https://atlanta.craigslist.org/eat/apa/d/pine-lake-get-in-the-game-sports-court/7797387903.html,1141.0
2024-10-30,College Park - Near the Fernbank Museum,A home to adore. Our 1 BR is a must-see.,1,752,https://atlanta.craigslist.org/sat/apa/d/atlanta-home-to-adore-our-br-is-must-see/7796807955.html,1100.0
2024-10-30,Morrow - 20 Minutes from Ferns of the World Garden,"Gorgeous 2 bed, 1.5 bath townhouse available now at Morrowood Townhome",2,1281,https://atlanta.craigslist.org/sat/apa/d/morrow-gorgeous-bed-15-bath-townhouse/7796103146.html,1481.0
2024-10-30,Atlanta - 20 Minute Drive to Cascade Springs Nature Preserve,"1150 sqft 1 bd, 1.5 ba ready to lease! Come on over and check us out!",1,1150,https://atlanta.craigslist.org/sat/apa/d/atlanta-1150-sqft-bd-15-ba-ready-to/7794399135.html,
2024-10-30,Morrow,"Public transportation close by! Great commuter location. 2 bed, 2 ba",2,1158,https://atlanta.craigslist.org/sat/apa/d/morrow-public-transportation-close-by/7796264524.html,1529.0
2024-10-30,Jonesboro - Near Shops of Tara,"Charming 1120 sq ft, 3 bd / 1.5 ba located close to campus",3,1120,https://atlanta.craigslist.org/sat/apa/d/morrow-charming-1120-sq-ft-bd-15-ba/7794566402.html,1344.0
2024-10-30,Austell,"Amplify your lifestyle. Dive into our 1 BR, 1 BA.",1,647,https://atlanta.craigslist.org/sat/apa/d/austell-amplify-your-lifestyle-dive/7795508811.html,1297.0
2024-10-30,East Point - 20 Minute Drive to Zoo Atlanta,Purrrrrrrfect! Cats and dogs welcome. Come check us out.,2,1175,https://atlanta.craigslist.org/atl/apa/d/atlanta-purrrrrrrfect-cats-and-dogs/7797207721.html,1334.0
2024-10-30,Newnan,Perfect for your budget! 3 BR 2 BA affordable housing in Newnan,3,1492,https://atlanta.craigslist.org/sat/apa/d/newnan-perfect-for-your-budget-br-ba/7793806015.html,1476.0
2024-10-30,Alpharetta,A great place to kick back and relax! Beautiful neighborhood!,2,1229,https://atlanta.craigslist.org/nat/apa/d/alpharetta-great-place-to-kick-back-and/7793193911.html,1910.0
2024-10-30,Jonesboro - Near Southway Shopping Center,"Quality 2 bed, 1 bath with the amenities you desire! 950 Sq Feet!",2,950,https://atlanta.craigslist.org/nat/apa/d/jonesboro-quality-bed-bath-with-the/7796131577.html,1234.0
